enrollment_id;user_id;course_id;enrollment_date;source;is_trial;completed;updated_at;campaign_id
1;326;322;2022-05-12 19:44:16;organic;False;True;2022-05-12 19:44:16;
2;28;198;2022-05-14 15:44:59;organic;False;True;2022-05-14 15:44:59;
3;836;73;2022-05-14 18:03:13;organic;False;True;2022-05-14 18:03:13;
4;71;206;2022-05-16 15:14:02;organic;False;True;2022-05-16 15:14:02;
5;757;158;2022-05-17 07:31:36;organic;False;True;2022-05-17 07:31:36;
6;389;467;2022-05-17 20:36:44;organic;False;True;2022-05-17 20:36:44;
7;820;354;2022-05-18 03:10:16;organic;False;True;2022-05-18 03:10:16;
8;695;507;2022-05-18 07:28:44;organic;False;True;2022-05-18 07:28:44;
9;158;757;2022-05-18 09:45:22;organic;False;True;2022-05-18 09:45:22;
10;472;875;2022-05-19 00:31:24;organic;False;True;2022-05-19 00:31:24;
11;350;224;2022-05-19 11:47:44;organic;False;True;2022-05-19 11:47:44;
12;158;42;2022-05-20 08:16:09;organic;False;True;2022-05-20 08:16:09;
13;656;655;2022-05-20 14:50:33;organic;False;True;2022-05-20 14:50:33;
14;977;875;2022-05-20 16:49:34;organic;False;True;2022-05-20 16:49:34;
15;950;143;2022-05-20 17:42:34;organic;False;True;2022-05-20 17:42:34;
16;528;79;2022-05-20 21:20:32;organic;False;True;2022-05-20 21:20:32;
17;789;661;2022-05-21 01:14:35;organic;False;True;2022-05-21 01:14:35;
18;756;121;2022-05-21 06:02:55;organic;False;True;2022-05-21 06:02:55;
19;44;547;2022-05-21 10:01:43;organic;False;True;2022-05-21 10:01:43;
20;208;100;2022-05-21 12:53:57;organic;False;True;2022-05-21 12:53:57;
21;704;666;2022-05-21 16:02:11;organic;False;True;2022-05-21 16:02:11;
22;943;320;2022-05-22 00:54:07;organic;False;True;2022-05-22 00:54:07;
23;824;737;2022-05-22 10:46:04;organic;False;True;2022-05-22 10:46:04;
24;257;49;2022-05-22 12:39:35;organic;False;True;2022-05-22 12:39:35;
25;423;738;2022-05-22 20:33:15;organic;False;True;2022-05-22 20:33:15;
26;989;441;2022-05-22 23:52:23;organic;False;True;2022-05-22 23:52:23;
27;53;373;2022-05-23 00:12:10;organic;False;True;2022-05-23 00:12:10;
28;574;29;2022-05-23 03:53:23;organic;False;True;2022-05-23 03:53:23;
29;795;544;2022-05-23 06:44:09;organic;False;True;2022-05-23 06:44:09;
30;968;887;2022-05-23 10:44:38;organic;False;True;2022-05-23 10:44:38;
31;166;524;2022-05-23 11:45:42;organic;False;True;2022-05-23 11:45:42;
32;251;583;2022-05-23 14:00:17;organic;False;True;2022-05-23 14:00:17;
33;661;802;2022-05-23 20:18:32;organic;False;True;2022-05-23 20:18:32;
34;177;286;2022-05-23 21:05:49;organic;False;True;2022-05-23 21:05:49;
35;424;245;2022-05-24 01:05:07;organic;False;True;2022-05-24 01:05:07;
36;606;688;2022-05-24 04:32:58;organic;False;True;2022-05-24 04:32:58;
37;359;761;2022-05-24 06:13:38;organic;False;True;2022-05-24 06:13:38;
38;721;109;2022-05-24 06:38:48;organic;False;True;2022-05-24 06:38:48;
